"filename", "language", "Markdown", "JavaScript", "TypeScript", "HTML", "vue", "JSON", "SQL", "CSS", "JSON with Comments", "Docker", "XML", "YAML", "PHP", "comment", "blank", "total"
"/home/vagrant/Project_M133/frontend/dist/assets/LoginView.864950c7.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/vagrant/Project_M133/frontend/dist/assets/Project.9699bcb4.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/Project.c9660bdb.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/ProjectView.d5f8c645.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/Sidebar.5b2adb96.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/Sidebar.64422143.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/UserView.b4d2ad54.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/UserView.ebc7cdd7.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/VerwaltungView.2bce3dd8.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/evaluation.8fa88ef7.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/vagrant/Project_M133/frontend/dist/assets/index.3a5cc6cf.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 39
"/home/vagrant/Project_M133/frontend/dist/assets/index.d46ff168.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
