"filename", "language", "JSON", "TypeScript", "JavaScript", "vue", "HTML", "CSS", "SQL", "JSON with Comments", "Docker", "YAML", "Markdown", "Shell Script", "PHP", "XML", "comment", "blank", "total"
"/home/vagrant/Project_M133/frontend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 7, 22
"/home/vagrant/Project_M133/frontend/env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/vagrant/Project_M133/frontend/index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/vagrant/Project_M133/frontend/package-lock.json", "JSON", 6974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6975
"/home/vagrant/Project_M133/frontend/package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/home/vagrant/Project_M133/frontend/src/App.vue", "vue", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 150
"/home/vagrant/Project_M133/frontend/src/assets/base.css", "CSS", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 76
"/home/vagrant/Project_M133/frontend/src/assets/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/vagrant/Project_M133/frontend/src/components/Analysis.vue", "vue", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/home/vagrant/Project_M133/frontend/src/components/Competition.vue", "vue", 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 300
"/home/vagrant/Project_M133/frontend/src/components/Confirm.vue", "vue", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/home/vagrant/Project_M133/frontend/src/components/Designe.vue", "vue", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 124
"/home/vagrant/Project_M133/frontend/src/components/Evaluation.vue", "vue", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
"/home/vagrant/Project_M133/frontend/src/components/Formular.vue", "vue", 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 243
"/home/vagrant/Project_M133/frontend/src/components/Project.vue", "vue", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 189
