"filename", "language", "SQL", "PHP", "JavaScript", "JSON", "TypeScript", "HTML", "vue", "XML", "CSS", "JSON with Comments", "Docker", "YAML", "Markdown", "Shell Script", "Ini", "comment", "blank", "total"
"/home/vagrant/Project_M133/frontend/package-lock.json", "JSON", 0, 0, 0, 6992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6993
"/home/vagrant/Project_M133/frontend/package.json", "JSON", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"/home/vagrant/Project_M133/frontend/src/App.vue", "vue", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 150
"/home/vagrant/Project_M133/frontend/src/assets/base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 14, 78
"/home/vagrant/Project_M133/frontend/src/assets/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/vagrant/Project_M133/frontend/src/components/Analysis.vue", "vue", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/home/vagrant/Project_M133/frontend/src/components/Competition.vue", "vue", 0, 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 287
"/home/vagrant/Project_M133/frontend/src/components/Confirm.vue", "vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/home/vagrant/Project_M133/frontend/src/components/Designe.vue", "vue", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 137
"/home/vagrant/Project_M133/frontend/src/components/Evaluation.vue", "vue", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"/home/vagrant/Project_M133/frontend/src/components/Formular.vue", "vue", 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 272
"/home/vagrant/Project_M133/frontend/src/components/Project.vue", "vue", 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 208
"/home/vagrant/Project_M133/frontend/src/components/Sidebar.vue", "vue", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 153
"/home/vagrant/Project_M133/frontend/src/components/icons/base64pic.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/vagrant/Project_M133/frontend/src/components/icons/bild.vue", "vue", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/vagrant/Project_M133/frontend/src/main.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 44
"/home/vagrant/Project_M133/frontend/src/router/index.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 94
"/home/vagrant/Project_M133/frontend/src/stores/auth.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"/home/vagrant/Project_M133/frontend/src/stores/competition.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 54
"/home/vagrant/Project_M133/frontend/src/stores/confirm.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
