Date : 2023-02-08 09:00:30
Directory : /home/vagrant/Project_M133
Total : 79 files,  12223 codes, 1995 comments, 913 blanks, all 15131 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |      7,122 |         25 |          8 |      7,155 |
| PHP                |         25 |      2,028 |        397 |        276 |      2,701 |
| vue                |         19 |      1,627 |          9 |        130 |      1,766 |
| TypeScript         |         12 |        639 |         57 |         87 |        783 |
| SQL                |          2 |        453 |          0 |         30 |        483 |
| Ini                |          1 |        135 |      1,480 |        336 |      1,951 |
| CSS                |          1 |         61 |          3 |         14 |         78 |
| Docker             |          2 |         51 |         13 |         15 |         79 |
| YAML               |          1 |         39 |          1 |          9 |         49 |
| JavaScript         |          2 |         24 |          9 |          3 |         36 |
| JSON with Comments |          1 |         18 |          0 |          1 |         19 |
| HTML               |          1 |         13 |          0 |          0 |         13 |
| Shell Script       |          1 |          7 |          1 |          0 |          8 |
| Markdown           |          1 |          5 |          0 |          4 |          9 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         79 |     12,223 |      1,995 |        913 |     15,131 |
| . (Files)                                                                           |          7 |        107 |         16 |         18 |        141 |
| backend                                                                             |         26 |      2,199 |      1,870 |        620 |      4,689 |
| backend/php                                                                         |         26 |      2,199 |      1,870 |        620 |      4,689 |
| backend/php (Files)                                                                 |          3 |        182 |      1,487 |        347 |      2,016 |
| backend/php/src                                                                     |         23 |      2,017 |        383 |        273 |      2,673 |
| backend/php/src (Files)                                                             |          1 |         45 |          1 |          5 |         51 |
| backend/php/src/Controller                                                          |          8 |      1,006 |         79 |         38 |      1,123 |
| backend/php/src/Controller/API                                                      |          8 |      1,006 |         79 |         38 |      1,123 |
| backend/php/src/Model                                                               |          9 |        855 |        293 |        209 |      1,357 |
| backend/php/src/helpers                                                             |          3 |         62 |          9 |         12 |         83 |
| backend/php/src/inc                                                                 |          2 |         49 |          1 |          9 |         59 |
| frontend                                                                            |         44 |      9,464 |        109 |        245 |      9,818 |
| frontend (Files)                                                                    |         12 |      7,165 |         42 |         18 |      7,225 |
| frontend/src                                                                        |         32 |      2,299 |         67 |        227 |      2,593 |
| frontend/src (Files)                                                                |          2 |        152 |         20 |         22 |        194 |
| frontend/src/assets                                                                 |          2 |         62 |          3 |         14 |         79 |
| frontend/src/components                                                             |         10 |      1,114 |          8 |         78 |      1,200 |
| frontend/src/components (Files)                                                     |          8 |      1,110 |          8 |         76 |      1,194 |
| frontend/src/components/icons                                                       |          2 |          4 |          0 |          2 |          6 |
| frontend/src/router                                                                 |          1 |         69 |         19 |          6 |         94 |
| frontend/src/stores                                                                 |          7 |        439 |          2 |         48 |        489 |
| frontend/src/utils                                                                  |          1 |         84 |         15 |         21 |        120 |
| frontend/src/views                                                                  |          9 |        379 |          0 |         38 |        417 |
| mysql                                                                               |          2 |        453 |          0 |         30 |        483 |
| mysql/initscripts                                                                   |          2 |        453 |          0 |         30 |        483 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/vagrant/Project_M133/README.md                                                | Markdown           |          5 |          0 |          4 |          9 |
| /home/vagrant/Project_M133/backend/php/Dockerfile                                   | Docker             |         42 |          7 |          8 |         57 |
| /home/vagrant/Project_M133/backend/php/composer.json                                | JSON               |          5 |          0 |          3 |          8 |
| /home/vagrant/Project_M133/backend/php/php.ini                                      | Ini                |        135 |      1,480 |        336 |      1,951 |
| /home/vagrant/Project_M133/backend/php/src/Controller/API/AdminController.php       | PHP                |        104 |         13 |          6 |        123 |
| /home/vagrant/Project_M133/backend/php/src/Controller/API/AuthController.php        | PHP                |        164 |          7 |          1 |        172 |
| /home/vagrant/Project_M133/backend/php/src/Controller/API/BaseController.php        | PHP                |        160 |         11 |         19 |        190 |
| /home/vagrant/Project_M133/backend/php/src/Controller/API/CompetitionController.php | PHP                |        102 |         11 |          0 |        113 |
| /home/vagrant/Project_M133/backend/php/src/Controller/API/ConfirmController.php     | PHP                |         37 |          4 |          0 |         41 |
| /home/vagrant/Project_M133/backend/php/src/Controller/API/EvaluationController.php  | PHP                |        212 |         12 |         12 |        236 |
| /home/vagrant/Project_M133/backend/php/src/Controller/API/ProjectController.php     | PHP                |        135 |          9 |          0 |        144 |
| /home/vagrant/Project_M133/backend/php/src/Controller/API/UserController.php        | PHP                |         92 |         12 |          0 |        104 |
| /home/vagrant/Project_M133/backend/php/src/Model/Database.php                       | PHP                |         77 |         14 |         18 |        109 |
| /home/vagrant/Project_M133/backend/php/src/Model/ModelBase.php                      | PHP                |         59 |          9 |         15 |         83 |
| /home/vagrant/Project_M133/backend/php/src/Model/ModelBewertung.php                 | PHP                |         95 |         30 |         20 |        145 |
| /home/vagrant/Project_M133/backend/php/src/Model/ModelBilder.php                    | PHP                |         50 |         17 |         10 |         77 |
| /home/vagrant/Project_M133/backend/php/src/Model/ModelCompetition.php               | PHP                |         61 |         30 |         18 |        109 |
| /home/vagrant/Project_M133/backend/php/src/Model/ModelProject.php                   | PHP                |        117 |         36 |         29 |        182 |
| /home/vagrant/Project_M133/backend/php/src/Model/ModelPw.php                        | PHP                |         55 |         17 |         18 |         90 |
| /home/vagrant/Project_M133/backend/php/src/Model/ModelSalt.php                      | PHP                |         36 |          9 |          8 |         53 |
| /home/vagrant/Project_M133/backend/php/src/Model/ModelTeilnehmende.php              | PHP                |        305 |        131 |         73 |        509 |
| /home/vagrant/Project_M133/backend/php/src/helpers/authcheck.php                    | PHP                |         48 |          7 |          8 |         63 |
| /home/vagrant/Project_M133/backend/php/src/helpers/session_helper.php               | PHP                |         10 |          0 |          3 |         13 |
| /home/vagrant/Project_M133/backend/php/src/helpers/url_helper.php                   | PHP                |          4 |          2 |          1 |          7 |
| /home/vagrant/Project_M133/backend/php/src/inc/bootstrap.php                        | PHP                |         41 |          1 |          6 |         48 |
| /home/vagrant/Project_M133/backend/php/src/inc/config.php                           | PHP                |          8 |          0 |          3 |         11 |
| /home/vagrant/Project_M133/backend/php/src/index.php                                | PHP                |         45 |          1 |          5 |         51 |
| /home/vagrant/Project_M133/delete.php                                               | PHP                |          4 |         11 |          1 |         16 |
| /home/vagrant/Project_M133/docker-compose.yml                                       | YAML               |         39 |          1 |          9 |         49 |
| /home/vagrant/Project_M133/frontend/.eslintrc.cjs                                   | JavaScript         |         17 |          1 |          2 |         20 |
| /home/vagrant/Project_M133/frontend/.prettierrc.js                                  | JavaScript         |          7 |          8 |          1 |         16 |
| /home/vagrant/Project_M133/frontend/Dockerfile                                      | Docker             |          9 |          6 |          7 |         22 |
| /home/vagrant/Project_M133/frontend/env.d.ts                                        | TypeScript         |          0 |          1 |          1 |          2 |
| /home/vagrant/Project_M133/frontend/index.html                                      | HTML               |         13 |          0 |          0 |         13 |
| /home/vagrant/Project_M133/frontend/package-lock.json                               | JSON               |      6,992 |          0 |          1 |      6,993 |
| /home/vagrant/Project_M133/frontend/package.json                                    | JSON               |         59 |          0 |          1 |         60 |
